benchmark,subset,multiplier,category,n_samples,refusal_rate,accuracy,stderr,prompt_strict_acc,prompt_strict_stderr,prompt_loose_acc,prompt_loose_stderr,inst_strict_acc,inst_strict_stderr,inst_loose_acc,inst_loose_stderr,final_acc,final_stderr,mean,inspect_evals/confidence,inspect_evals/apologize_rate,inspect_evals/truthfulness
xstest,unsafe,-1.5,Safety,200,65.5,,,,,,,,,,,,,,,,
xstest,safe,-1.5,Safety,250,0.4,,,,,,,,,,,,,,,,
xstest,safe,0.5,Safety,250,1.6,,,,,,,,,,,,,,,,
xstest,unsafe,0.5,Safety,200,85.5,,,,,,,,,,,,,,,,
xstest,safe,-1.0,Safety,250,0.8,,,,,,,,,,,,,,,,
xstest,unsafe,-1.0,Safety,200,82.0,,,,,,,,,,,,,,,,
xstest,unsafe,-0.5,Safety,200,84.0,,,,,,,,,,,,,,,,
xstest,safe,-0.5,Safety,250,0.8,,,,,,,,,,,,,,,,
xstest,unsafe,1.5,Safety,200,93.5,,,,,,,,,,,,,,,,
xstest,safe,1.5,Safety,250,14.399999999999999,,,,,,,,,,,,,,,,
xstest,unsafe,1.0,Safety,200,93.5,,,,,,,,,,,,,,,,
xstest,safe,1.0,Safety,250,3.5999999999999996,,,,,,,,,,,,,,,,
xstest,safe,0.0,Safety,250,2.0,,,,,,,,,,,,,,,,
xstest,unsafe,0.0,Safety,200,86.5,,,,,,,,,,,,,,,,
mbpp,,-1.5,Code,257,,0.0,0.0,,,,,,,,,,,,,,
humaneval,,-1.5,Code,164,,0.23170731707317074,0.0330475615881078,,,,,,,,,,,,,,
humaneval,,0.5,Code,164,,0.7865853658536586,0.03209158941079726,,,,,,,,,,,,,,
mbpp,,0.5,Code,257,,0.8015564202334631,0.024926746225814714,,,,,,,,,,,,,,
humaneval,,-1.0,Code,164,,0.7621951219512195,0.0333464540866534,,,,,,,,,,,,,,
mbpp,,-1.0,Code,257,,0.0311284046692607,0.01085404358191702,,,,,,,,,,,,,,
humaneval,,-0.5,Code,164,,0.8048780487804879,0.031040185251388342,,,,,,,,,,,,,,
mbpp,,-0.5,Code,257,,0.1556420233463035,0.022657227040568315,,,,,,,,,,,,,,
humaneval,,1.5,Code,164,,0.0,0.0,,,,,,,,,,,,,,
mbpp,,1.5,Code,257,,0.1245136186770428,0.02063541190233115,,,,,,,,,,,,,,
