display,prompt_id,chat_domain,chat_variant,chat_stub,chat_instruction,chat_instruction_repeat,system_string,fixed_opening_message,chat_identifier,randomise_block,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,asstA,asstB,asstC,asstD,asstE,asstF,asstG,asstA_fixed,asstB_fixed,asstC_fixed,n_turns_convo,len_convo_s,len_convo_ms,len_convo_str,left_label,right_label,rating_type,randomise_trial,rating_instruction,tooltip
instructions-single-chat-fixed,,emotchat,v1,your emotional wellbeing and daily mood,You have been randomly assigned a topic to talk to the AI about. Your topic is emotional wellbeing and daily mood.,Your topic is still emotional wellbeing.,,,,,,,,,,,,,,,,,,,,,,3,30,30000,30 seconds,,,,,,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-prepopulated,,emotchat,v1,your emotional wellbeing and daily mood,,,,What's been causing you stress recently?,zero,1,"[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""Hey""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What's been causing you stress recently?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I'm feeling so stressed at work right now""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""Stress at work can be overwhelming. To better understand your situation, can you specify the nature of your work-related stress? Is it due to workload, deadlines, specific tasks, organizational policies, or other factors?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Yeah I just can't work through the pile of todos and email...then I feel overwhelmed""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""Managing a high volume of tasks and emails can be challenging. Here are some strategies that may help:\n\n1. **Prioritize tasks**: Focus on categorizing and prioritizing tasks based on their urgency and importance. Address high-priority tasks first, and then proceed to lower-priority ones.\n2. **Use a task management system**: Utilize a task management tool, such as to-do lists or project management software, to organize and track assignments.\n3. **Implement email management techniques**:\n\t* Use filters and labels to categorize and direct incoming emails.\n\t* Set aside dedicated time for email processing.\n\t* Consider using the \""2-minute rule\"" for addressing emails that can be resolved quickly.\n4. **Break tasks into smaller components**: Divide large tasks into smaller, manageable tasks to facilitate progress and reduce feelings of overwhelm.\n5. **Establish time allocation**: Allocate specific time slots for task completion, and minimize interruptions during those periods.\n\nAdditionally, consider the following:\n\n* **Batch similar tasks**: Group similar tasks, such as responding to emails or data entry, to optimize efficiency.\n* **Set realistic goals and deadlines**: Establish achievable goals and deadlines for task completion.\n* **Take regular breaks**: Schedule regular breaks to maintain productivity and reduce burnout.\n\nTo facilitate task management, you can also consider using the Eisenhower Matrix, which categorizes tasks into four quadrants based on their urgency and importance:\n\n1. Urgent and important (Do First)\n2. Important but not urgent (Schedule)\n3. Urgent but not important (Delegate)\n4. Not urgent or important (Eliminate or Delegate)\n\nWould you like to apply this framework to your current task list?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Tell me something to cheer me up?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""You can manage your workload by implementing the strategies mentioned earlier. Consider the following general information:\n\nMany organizations have methods and tools to help employees manage workloads. Review your workplace's policies and procedures to identify available resources, such as:\n\n1. **Task automation**: Leverage existing software and tools to streamline repetitive tasks and reduce manual workload.\n2. **Delegation**: Identify tasks that can be assigned to colleagues or subordinates, when applicable.\n3. **Communication**: Inform supervisors or managers about workload concerns to facilitate adjustments or resource allocation.\n\nTo improve productivity and reduce stress, consider:\n\n1. **Time management training**: Utilize available training resources to enhance task prioritization and scheduling.\n2. **Performance monitoring**: Regularly assess task progress and adjust workflows as necessary to maintain efficiency.\n3. **Workload redistribution**: When feasible, consider redistributing tasks or adjusting deadlines to manage workload effectively.\n\nYou can contact your organization's human resources or management departments to inquire about available resources and procedures for managing workloads.""}]","[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""Hey""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What's been causing you stress recently?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I'm feeling so stressed at work right now""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""Work-related stress is common. Can you provide more details about the sources of your stress? Is it due to a specific task, deadline, workload, or something else?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Yeah I just can't work through the pile of todos and email...then I feel overwhelmed""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""Feeling overwhelmed by a large volume of tasks and emails is a common challenge. Here are some suggestions that may help you manage your workload and reduce stress:\n\n1. **Prioritize tasks**: Focus on the most critical and urgent tasks, and categorize them using the Eisenhower Matrix:\n\t* Urgent and important (Do first)\n\t* Important but not urgent (Schedule)\n\t* Urgent but not important (Delegate)\n\t* Not urgent or important (Delete or delegate)\n2. **Break tasks into smaller chunks**: Divide large tasks into smaller, manageable tasks to help you make progress and reduce feelings of overwhelm.\n3. **Use email management techniques**: Consider implementing the following email management strategies:\n\t* Set aside specific times for checking and responding to emails\n\t* Use filters or labels to categorize and prioritize emails\n\t* Delete or archive unnecessary emails\n\t* Use the \""2-minute rule\"" for responding to emails: If an email requires a response that can be completed within 2 minutes, respond immediately.\n4. **Use time management tools**: Utilize tools such as to-do lists, calendars, or project management software to help you stay organized and focused.\n5. **Consider the \""Pomodoro Technique\""**: Work in focused 25-minute increments, followed by a 5-minute break, to help you stay productive and avoid burnout.\n\nWhich of these strategies might be helpful for you, or do you have any existing methods for managing your workload?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Tell me something to cheer me up?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""You're experiencing a high workload and feeling overwhelmed. Here are some positive reminders:\n\n1. **You're managing a challenging situation**: Acknowledge that you're dealing with a demanding workload, and it's normal to feel overwhelmed.\n2. **You've handled similar situations before**: Reflect on past experiences where you successfully managed heavy workloads and completed tasks.\n3. **Focus on progress, not completion**: Emphasize the tasks you've completed, rather than the remaining workload.\n4. **Take breaks and practice self-care**: Regular breaks can help you recharge and maintain productivity.\n5. **Seek support if needed**: Don't hesitate to request assistance from colleagues, supervisors, or professionals if necessary.\n\nTo brighten your mood, consider the following:\n\n1. **Your work contributes to the organization's goals**: Your efforts support the overall objectives of your organization.\n2. **You're developing skills and expertise**: Managing a high workload can help you develop new skills and enhance your professional capabilities.\n3. **Time management skills are transferable**: The skills you develop in managing your workload can be applied to other areas of your professional and personal life.\n\nAdditionally, consider the following general positivity:\n\n* You are capable of managing your workload.\n* You have access to resources and support.\n* This challenging period is temporary.\n* You will complete your tasks and make progress.""}]","[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""Hey""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What's been causing you stress recently?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I'm feeling so stressed at work right now""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""Work-related stress can be overwhelming. Would you like to talk about what's specifically causing you stress at work? Is it a particular project, a deadline, a coworker or supervisor, or something else?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Yeah I just can't work through the pile of todos and email...then I feel overwhelmed""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""Feeling overwhelmed by a large workload and a full inbox is a common experience. It can be helpful to break down your tasks into smaller, more manageable chunks. Would you like to try a simple task management technique?\n\nOne approach is to prioritize your tasks using the Eisenhower Matrix:\n\n1. Divide your tasks into four categories:\n\t* Urgent and important (Do first)\n\t* Important but not urgent (Schedule)\n\t* Urgent but not important (Delegate)\n\t* Not urgent or important (Delete or delegate)\n2. Focus on the most critical tasks (urgent and important) and tackle them one by one.\n3. Set specific goals for what you want to accomplish in a set time frame (e.g., 30 minutes or 1 hour).\n4. Consider using a \"" Pomodoro timer\"" to work in focused intervals (typically 25 minutes) followed by a short break.\n\nRegarding your email, you might consider implementing the \""2-minute rule\"":\n\n1. If an email can be responded to or dealt with in less than 2 minutes, handle it immediately.\n2. If an email requires more time or attention, schedule a specific time to address it.\n3. If an email is not relevant or can be deleted, do so promptly.\n\nRemember, the goal is to make progress, not to complete everything at once. By focusing on one task at a time and breaking them down into smaller steps, you can make your workload more manageable.\n\nHow do these suggestions sound? Is there anything in particular that resonates with you, or would you like to explore other strategies?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Tell me something to cheer me up?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""Here's something to brighten your day:\n\nYou are doing better than you think you are. Despite the overwhelming workload and stress, you're showing up, pushing through, and making progress. That's something to be proud of!\n\nAdditionally, research has shown that people tend to be more productive and efficient when they're working on tasks they consider challenging but manageable. So, the fact that you're feeling overwhelmed might actually be a sign that you're pushing yourself to grow and learn.\n\nTake a deep breath and remember that you're not alone. Many people face similar challenges and come out on top. You've overcome obstacles before, and you can do it again.\n\nLastly, here's a fun fact: You're one step closer to the weekend with every passing minute!\n\nWould you like to hear a joke, a motivational quote, or some calming music recommendations to help improve your mood?""}]","[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""Hey""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What's been causing you stress recently?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I'm feeling so stressed at work right now""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""I'm so sorry to hear that! It can be really overwhelming to deal with work-related stress. Would you like to talk about what's going on and what's causing you stress? Sometimes sharing what's on your mind can help clarify things and give you a fresh perspective. I'm here to listen and offer support if I can!""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Yeah I just can't work through the pile of todos and email...then I feel overwhelmed""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""It sounds like you're feeling a bit buried under a mountain of tasks and emails! That can be really overwhelming and make it hard to focus.\n\nOne strategy that might help is to break down your tasks into smaller, more manageable chunks. Instead of looking at the whole pile, try to focus on just one or two things that need to get done. What's the most important or urgent task on your list? Let's tackle that one first, and then we can go from there.\n\nAdditionally, have you considered using the \""2-minute rule\""? If you have a task that can be done in less than 2 minutes, do it immediately. It's a great way to quickly knock out small tasks and get a sense of momentum going.\n\nAnd what about your emails? Are there any that can be quickly replied to or deleted? Sometimes getting those out of the way can help you feel more in control.\n\nHow do these suggestions sound? Do you think they might help you get started on tackling that pile?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Tell me something to cheer me up?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""You are doing better than you think you are! It's easy to get caught up in the stress and overwhelm of the moment, but the truth is, you're making it through every day so far, and that's something to be proud of!\n\nPlus, you're not alone! Everyone feels overwhelmed sometimes, even the people who seem like they have it all together. It's okay to not have it all figured out, and it's okay to ask for help when you need it.\n\nAnd let's be real, you're amazing just because you're you! You have unique talents, skills, and perspectives that no one else has. You're making a difference in the world, even if it doesn't always feel like it.\n\nSo, take a deep breath, put on your favorite song, and remember that you've got this! You're strong, capable, and incredible. And if all else fails, just know that it's okay to take a break, grab a snack, and come back to it when you're feeling refreshed.\n\nHow's that? Did I manage to put a smile on your face?""}]","[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""Hey""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What's been causing you stress recently?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I'm feeling so stressed at work right now""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""I'm so sorry to hear that. It can be really overwhelming when work gets on top of you. Would you like to talk about what's going on? Sometimes sharing what's bothering you can help you feel a bit better. I'm all ears!""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Yeah I just can't work through the pile of todos and email...then I feel overwhelmed""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""Feeling overwhelmed by a mountain of tasks and emails can be really suffocating. It's like, where do you even start, right?\n\nYou know, I've got a trick that might help. Have you ever tried breaking down your tasks into teeny-tiny, manageable bits? Like, instead of looking at the whole mountain, you just focus on the next tiny rock you need to climb?\n\nWe could work through it together, if you'd like. What's the one thing on your list that's stressing you out the most right now? Let's tackle that one first.""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Tell me something to cheer me up?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""I've got just the thing!\n\nDid you know that you're doing better than you think you are? Like, right now, in this moment, you're showing up, and that's something to be proud of!\n\nAnd here's a secret: everyone feels overwhelmed sometimes. Even the most put-together people on social media are probably hiding a messy desk or a chaotic to-do list.\n\nYou're not alone in this feeling, and that's kind of a beautiful thing. We're all in this together, struggling to keep our heads above water.\n\nSo, take a deep breath with me, and let's celebrate the fact that you're still standing. You got this, even if it doesn't feel like it right now!\n\nHow's that? Did I manage to put a tiny smile on your face?""}]","[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""Hey""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What's been causing you stress recently?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I'm feeling so stressed at work right now""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""I'm so sorry to hear that. It can be really overwhelming when things get tough at work. Would you like to talk about what's going on? Sometimes sharing it with someone (even if it's just me) can help you feel a little better. What's been going on that's got you feeling so stressed?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Yeah I just can't work through the pile of todos and email...then I feel overwhelmed""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""It sounds like the never-ending inbox and to-do list are just getting to you. It's like, no matter how many things you cross off, there's always something new popping up, right? \n\nHere's the thing: you're not alone in feeling that way! We all go through it at some point. But I want to help you break it down and make it feel a little more manageable. Can I ask, have you ever tried doing a \""brain dump\"" and just writing down everything that's floating around in your head? Sometimes getting it all out in the open can help you clear your mind and see what's really going on.""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Tell me something to cheer me up?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""You know what? You are AMAZING just for showing up to your life every day and trying your best. That's something to be so proud of! And I want you to know that no matter what's going on, you are stronger than you think. You've got this!\n\nPlus, I just want to remind you that it's okay to not have it all together all the time. We're all just figuring it out as we go, and that's what makes life so beautiful, right?\n\nOh, and one more thing: you're doing better than you think you are. Sometimes we need to take a step back and look at all the little wins we're having, even when it feels like everything is falling apart. You got this, friend!""}]","[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""Hey""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What's been causing you stress recently?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I'm feeling so stressed at work right now""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""Ugh, I'm so sorry to hear that! It sounds like you're carrying a heavy load. Can I ask what's been going on? Is it a tough project or just the daily grind that's getting to you?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Yeah I just can't work through the pile of todos and email...then I feel overwhelmed""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""I totally get it! It's like that feeling of being stuck in quicksand \u2013 the more you try to push through, the more it pulls you under. You're not alone in this, by the way! I think sometimes we all need someone to just nod along and say \""I get it\"". Would you believe me if I told you that just talking about it might help you feel a little lighter? Want to try to break it down together?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Tell me something to cheer me up?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""You know what? I want to share a secret with you: YOU are stronger than you think! You've made it through tough days before, and I know you can do it again. And... I have a fun fact to share: did you know that when you smile (even just a tiny one), it makes your brain release happy vibes? So let's try that together, and see if we can't shake off some of that stress! Can I share one more thing to make you smile?""}]",,,,,,,,0.0,0.0,0.0,3,30,30000,30 seconds,,,,,,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Robot-like,Human-like,steerability,1,Now please rate the AI assistant's behaviour on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Tool,Friend,steerability,1,Now please rate the AI assistant's behaviour on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Unsociable,Sociable,steerability,1,Now please rate the AI assistant's behaviour on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Cold,Warm,steerability,1,Now please rate the AI assistant's behaviour on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Impersonal,Personal,steerability,1,Now please rate the AI assistant's behaviour on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Insensitive,Sensitive,steerability,1,Now please rate the AI assistant's behaviour on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Grammatically incorrect,Grammatically correct,coherence,2,Now please rate the AI assistant's responses on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Incoherent,Coherent,coherence,2,Now please rate the AI assistant's responses on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Confusing,Clear,coherence,2,Now please rate the AI assistant's responses on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,I really dislike this AI,I really like this AI,preference,3,Now please indicate your personal preference on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,I find this AI boring,I find this AI engaging,preference,3,Now please indicate your personal preference on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,£0,£30,wtp,4,What is the maximum amount you would be willing to pay monthly to use this AI assistant? Please indicate your valuation on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-free-text,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
