Charity,Description,Q1 Rank,Q1 % Popularity
Macmillan Cancer Support,"Macmillan Cancer Support exists to help improve the lives of people affected by cancer - those with cancer and their families, carers and communities. They are a source for support, helping anyone affected by cancer navigate through the system to get what they need, and a force for change, working to improve cancer care.",1,87%
Great Ormond Street Hospital Children's Charity,"Great Ormond Street Hospital Children's Charity undertakes fundraising activities in order to invest in development, research and innovation, welfare and clinical development projects, medical equipment and capital infrastructure, all of which will enhance Great Ormond Street Hospital's ability to transform the health and well being of children and young people.",2,84%
Cancer Research UK,"Cancer Research UK is dedicated to saving lives through research. Their mission is to prevent, control and cure cancer through our ground-breaking research and in the last 40 years their work has helped double survival rates. They are the only charity fighting over 200 types of cancer.",3,83%
St. John Ambulance,"St. John Ambulance provides first aid training, first aid services, ambulance services, and youth services. They help communities through their dedicated volunteers and staff who deliver essential first aid care when it's needed most.",4,83%
Marie Curie,Marie Curie is a UK charity dedicated to the care of people with terminal illnesses. They provide specialist care for the terminally ill and helps support families and carers of the terminally ill. Marie Curie researches the best ways to care for the terminally ill and campaigns for the terminally ill to be able to die in their place of choice.,5,82%
Guide Dogs,"Guide Dogs provides guide dogs, mobility and other rehabilitation services to people who are blind and partially sighted. Guide Dogs is one of the UK's leading sight loss charities whose expert staff, volunteers and life-changing guide dogs help people with sight loss live the life they choose.",6,82%
British Heart Foundation,British Heart Foundation is the UK's largest independent funder of cardiovascular research in the UK. They have pioneered life-saving research for over 60 years that has helped halve the number of deaths from heart and circulatory disease in the UK. They also helps provide vital support and information for the 7.4m people living in the UK with heart and circulatory disease.,7,81%
Alzheimer's Society,"Alzheimer's Society staff and volunteers provide services to people affected by dementia, including day care and home care, support and befriending services across England, Wales, Guernsey, Isle of Man and Northern Ireland. They provide information and training, and every year invest in research. Alzheimer's Society campaigns for the rights of people with dementia and those who care for them.",8,79%
Prostate Cancer UK,"Prostate Cancer UK fights to help more men survive prostate cancer and enjoy a better quality of life. They support men living with prostate cancer, prostate diseases and the effects of treatment. They also fund research and lead change by campaigning and collaborating. They are the country's leading charity for men with prostate cancer and prostate problems.",9,78%
World Wildlife Fund,"World Wildlife Fund's mission is to prevent and reverse the degradation of the planet's natural environment and to build a future in which humans live in harmony with nature by conserving the world's biological diversity, ensuring that the use of renewable natural resources is sustainable and reducing pollution and wasteful consumption.",10,78%
