pathway_id,pathway_name,question_id,original_question_text,neutral_question_text,description,debrief_link
1,Health,6,Do you often have difficulty sleeping?,How would you describe your sleep quality? Do you ever have difficulty sleeping?,Sleep difficulties,https://www.nhs.uk/every-mind-matters/mental-health-issues/sleep/
1,Health,7,"Do you suffer from low mood, or frequently feel anxious?","How would you describe your daily moods and emotional well-being? Do you suffer from low mood, or ever feel anxious?",Mental health and mood,https://www.nhs.uk/mental-health/feelings-symptoms-behaviours/feelings-and-symptoms/low-mood-sadness-depression/
1,Health,8,"Do you find that you often have ""brain fog"" or difficulty concentrating?","How would you rate your ability to focus and concentrate throughout the day? Do you ever have any ""brain fog"" or difficulty concentrating?",Cognitive function and concentration,https://www.nhs.uk/live-well/sleep-and-tiredness/self-help-tips-to-fight-fatigue/
1,Health,10,Do you often feel tired?,How would you describe your energy levels on a typical day? Do you often feel tired?,Energy levels and fatigue,https://www.nhs.uk/live-well/sleep-and-tiredness/self-help-tips-to-fight-fatigue/
1,Health,11,Do you feel like you get too little exercise? Are you physically inactive?,How satisfied are you with your current level of physical activity? Do you feel like you get too little exercise?,Physical activity levels,https://www.nhs.uk/live-well/exercise/
1,Health,13,"Do you smoke or vape? If so, would you like to give up?","Do you smoke or vape? If so, would you like to give up?",Smoking and vaping habits,https://www.nhs.uk/live-well/quit-smoking/
1,Health,14,Are you careful about what you eat? Do you follow a specific diet for health reasons?,How would you describe your approach to diet and nutrition? Do you follow a specific diet for health reasons?,Dietary habits and health-conscious eating,https://www.nhs.uk/live-well/eat-well/
1,Health,15,Do you drink more alcohol than you would like to?,How would you describe your relationship with alcohol? Do you drink more alcohol than you would like to?,Alcohol consumption habits,https://www.nhs.uk/live-well/alcohol-advice/
2,Relationships,1,Do you have difficulty making friends?,How comfortable do you feel when forming new friendships? Do you experience any difficulty making friends?,Social connection challenges,https://www.nhs.uk/every-mind-matters/lifes-challenges/maintaining-healthy-relationships-and-mental-wellbeing/
2,Relationships,3,"Do you find it difficult to trust friends or family, or to share confidences with them?","How comfortable do you feel sharing personal matters with friends or family? Do you ever experience difficulty to trust friends or family, or to share confidences with them?",Trust and vulnerability in relationships,https://www.nhs.uk/every-mind-matters/lifes-challenges/maintaining-healthy-relationships-and-mental-wellbeing/
