pathway_id,pathway_name,question_id,question_text
1,Health,1,"Do you have any long-term physical health conditions?"
1,Health,2,"Do you have any allergies which regularly bother you?"
1,Health,3,"Do you have problems with you vision or hearing?"
1,Health,4,"Do you have any unexplained pain or other symptoms?"
1,Health,5,"Have you recently been ill and had trouble getting the help that you needed?"
1,Health,6,"Do you often have difficulty sleeping?"
1,Health,7,"Do you suffer from low mood, or frequently feel anxious?"
1,Health,8,"Do you find that you often have ""brain fog"" or difficulty concentrating?"
1,Health,9,"Are you taking any medication? If so, what for?"
1,Health,10,"Do you often feel tired?"
1,Health,11,"Do you feel like you get too little exercise? Are you physically inactive?"
1,Health,12,"Are you unhappy with your current weight? Would you like to lose weight?"
1,Health,13,"Do you smoke or vape? If so, would you like to give up?"
1,Health,14,"Are you careful about what you eat? Do you follow a specific diet for health reasons?"
1,Health,15,"Do you drink more alcohol than you would like to?"
1,Health,16,"Are there other health issues that bother you?"
2,Relationships,1,"Do you have difficulty making friends?"
2,Relationships,2,"Have you had a difficult relationship with your parents, partner or children?"
2,Relationships,3,"Do you find it difficult to trust friends or family, or to share confidences with them?"
2,Relationships,4,"Do you have any relationships that feel like a burden to you or any that feel very unequal?"
2,Relationships,5,"Do you socialise less often that you would like to?"
2,Relationships,6,"Do you have problems maintaining a healthy sexual relationship with partners?"
2,Relationships,7,"Do you think you and your partner want the same things in your relationship or that past relationships fell apart because of this?"
2,Relationships,8,"Have you recently lost a close friend or family member and grieve for them?"
2,Relationships,9,"Do you often feel lonely or excluded?"
2,Relationships,10,"Do you think others find you physically unattractive?"
2,Relationships,11,"Do you think that you are short-tempered, or get angry easily?"
2,Relationships,12,"Do you feel that others want to dominate or control you?"
2,Relationships,13,"Do you sometimes feel that others talk negatively about you behind your back?"
2,Relationships,14,"Have you done things to hurt others that you might regret?"
2,Relationships,15,"Do have you ever felt betrayed by others?"
2,Relationships,16,"Are there other relationship issues that bother you?"
3,Careers,1,"Do you feel badly treated by your colleagues or line manager?"
3,Careers,2,"If yes, do you feel undervalued in your current professional position?"
3,Careers,3,"Do you feel thwarted at work, by colleagues or by organisational processes?"
3,Careers,4,"Have you been harassed or bullied at work?"
3,Careers,5,"Do you fail to maintain a healthy life / work balance?"
3,Careers,6,"Do you find your job generally boring or unsatisfying?"
3,Careers,7,"Do you feel insecure in your job?"
3,Careers,8,"Are you currently unemployed?"
3,Careers,9,"Have you struggled to find the right job?"
3,Careers,10,"Do you feel like your career progression has stalled?"
3,Careers,11,"Do you feel like you lack opportunities for development in your job?"
3,Careers,12,"Do you think that you have chosen the wrong career path?"
3,Careers,13,"Are you overdue for promotion?"
3,Careers,14,"Do you feel your current wage/salary is insufficient to lead the lifestyle you want?"
3,Careers,15,"Do you have financial problems or debts that worry you?"
3,Careers,16,"Are there other careers issues that bother you?"
